Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
MILLAGE,55 Changi Road  #B1-15 ,20,Strata,708000,35400,3289,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #B1-14 ,20,Strata,696000,34800,3233,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #01-08 ,15,Strata,823000,54867,5097,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-28 ,25,Strata,884000,35360,3285,04-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-20 ,10,Strata,386000,38600,3586,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-14 ,14,Strata,550000,39286,3650,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
MILLAGE,55 Changi Road  #02-12 ,11,Strata,462000,42000,3902,05-APR-2012,Retail,Freehold,New Sale,14,41,419709,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-10 ,14,Strata,391900,27993,2601,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-49 ,17,Strata,457500,26912,2500,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-26 ,11,Strata,438100,39827,3700,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-35 ,11,Strata,432200,39291,3650,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-31/32 ,44,Strata,1361700,30948,2875,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-54 ,11,Strata,302000,27455,2551,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-28 ,22,Strata,663100,30141,2800,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-41 ,17,Strata,667900,39288,3650,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #01-33 ,11,Strata,438100,39827,3700,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-19 ,14,Strata,391900,27993,2601,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-50/51 ,24,Strata,671800,27992,2600,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
CENTROPOD @ CHANGI,80 Changi Road  #02-48 ,16,Strata,430600,26913,2500,11-JAN-2012,Retail,Freehold,New Sale,14,41,419715,Central Region,Geylang
